"Path","Bytes","SHA256"
"docs\API-spec.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"docs\architecture-diagram.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"docs\BACKUP-RECOVERY.md","1347","C20DCA98639F0F562C10A5A6ED9CEDB2DEB2F1087A4FF58F95DF464EEB6978EE"
"docs\DEPLOYMENT.md","1955","17B079BEA32DC3441BE433EE2E574E0B2876A76B4E29821EEB79BDABF7485F36"
"docs\ENVIRONMENT-CONFIGURATION.md","1451","E0A9B597475B876811F85EB18C8BC83E34D7617D77CF664D3021E683D3CA79AE"
"docs\ERD.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"docs\FINAL-PROJECT-REPORT.md","1404","09FC865288F5BED90EC3FBD35061CE0841E3FD0080BDD56E26A047708E3D8F56"
"docs\FUTURE-ROADMAP.md","834","695E8222893AB993CD6BD56AF271FAC2D6CAE905007B177E59FC3700FB92DBAA"
"docs\GO-LIVE-CHECKLIST.md","1377","57C7189740983BFE56C454EC3C5866D13E7D8E807B73C371A8A5F13C80BA8469"
"docs\OPERATIONS-RUNBOOK.md","1476","414435F648254835DACFB3A43757E146303F372673B586BF168348478C865C95"
"docs\PHASE-10-ANALYTICS-REPORTING.md","1013","248B14D8BFFE27C2415F3130C1A64146DCE0E7158A7C76AB204CADC387DCDBF0"
"docs\PHASE-11-CHATBOT.md","1423","2001F391C1C5134B865AA5172184FECEF7867FEBC808FE162549F3150C2CAF0F"
"docs\PHASE-12-ADMINISTRATION-AUDIT.md","940","CE097DD801F1B59E52A8F457A277B292040EB98F2610012880B423722F57EE8F"
"docs\PHASE-13-SECURITY-HARDENING.md","1948","8D5B50068131FAF264221E4E8847D5A83A3F26AB985212617CE4CF8A960C2FCD"
"docs\PHASE-14-TESTING-QA-UAT.md","1568","9724ED0BEA8B6BE6C3E0D2C5DEC99458499BDD7838B9894F6BBBC574819B873E"
"docs\PHASE-15-DEPLOYMENT-PRODUCTION.md","1075","BA5F57A97E4AC3CA217E506E231C9489951DC49093FAD1F18F506B1EC5D6CE12"
"docs\PHASE-16-DOCUMENTATION-HANDOVER.md","335","394C3C87F9789E9708D566E98F80848B030451D350DBDBB03194E2ED839052EF"
"docs\PHASE-2-DATABASE-AWS.md","1929","93A9456D69E5A37F5580A40812E45A12AB6DCAD359E56FF3668339834AA9CB75"
"docs\PHASE-5-COMPLAINT-MANAGEMENT.md","1558","EEF23D2C8AFB8AFFE9742B3094B5F19A9A228CC152B43E112E23ED630053D1CD"
"docs\PHASE-6-ASSIGNMENT-OFFICER-WORKFLOW.md","1063","1D0262B6A2BCA89D1882FC14A87F4796765EE8E16E9FE759E96075DAD0444AF7"
"docs\PHASE-7-VERIFICATION-DISPUTES.md","306","A2083383D825C6D1B4BE6AF75B5F4C67CAF66ED486CB91D851ACF306DAEA0A39"
"docs\PHASE-8-NOTIFICATIONS-REWARDS.md","1228","1EF31C5007C90F38C0D3AD2E0200BEE5FBF3F19A03DA529703F1021CCC1B4413"
"docs\PHASE-9-AI-SERVICES.md","507","411E84D9C850A7D3C29EB7C499EE70816E327187EF21E35B56B47576446CB1BC"
"docs\Postman_Collection.json","3033","94211E03BAAFE31B3B5D30813198D4C10813E69D63A38C80F0473ABB77DB7F9F"
"docs\SRS.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"docs\USER-MANUAL.md","918","86208509A7446613872F0DE63AE8FF460A8BB52D9CFBEFAF1804036E4A8BE38B"
"docs\api\API-REFERENCE.md","1032","58A2DCD17666C91AF382A995BC86435494DF85B3C91A773D6FE2E05DAE4CA941"
"docs\architecture\HLD.md","1471","8D7445F5289E7327D85EE1BE5DC3077B6D1F7183FAA7D91AAE7E35EF834F9174"
"docs\architecture\LLD.md","1627","51652ABB7845A024592CD2261DED65C2B65D3392B71F08703250B273CA934288"
"docs\database\DATABASE-DESIGN.md","1370","EAD36F6039BB3308E0411B2D957C9C8D0A2AFBC16E7B7DD78145BB3F64A8E60A"
"docs\handover\PROJECT-HANDOVER.md","983","EA3260B9D5E2A38B69DF9AA40860B6A2B0C82CC1EC5D33F2AAAA0EF067A4816A"
"docs\operations\INCIDENT-RESPONSE.md","912","A9AD5E846034A350A3ECCD202C46B16E6900A588B216BCEE1009015CB782DD8C"
"docs\operations\MAINTENANCE-PLAN.md","886","DFA3F902C7D23CC3E60AE91427DC9AD29FC234E052B75750B74D352F1FFD6597"
"docs\operations\SUPPORT-SLA.md","440","7D84394A46186EE86D5F6BBD27EDC0C75516D661FDB379E64192DF9C11BF8E56"
"docs\requirements\SRS.md","2814","CC7CDB1E0D0B002040AB2C4B9DBFB32042B03C070E96830774433AE9808351B2"
"docs\training\ADMIN-TRAINING.md","620","E9202268DE3E825DAE31901CFDDC31505FF39CB60A431C87591CC1DA6DC7C6E9"
"docs\training\CITIZEN-TRAINING.md","748","7AC26B214B2DE9AE94D4C2343881627D81F2A3FDEB32AB209C3BC9976C56F88C"
"docs\training\OFFICER-TRAINING.md","715","1D06F5DCA70D250337ECE9BC518D9E17F8CB476A438ABDC3536D26A48F1F2B16"
"docs\training\SUPERVISOR-TRAINING.md","576","8E194928E8BE656871911595D2194AA8A8557D27E0A27E3EDE251FD74ED0DFA8"
